="",="comb",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m2_1_rp5_tvc5",="16475",=".",="-43241.53",="12",="86507.07",="86599.58"
="m2_1_rp5_tvc2",="16475",=".",="-43257.77",="9",="86533.54",="86602.92"
="m2_1_rp5_tvc3",="16475",=".",="-43257.65",="10",="86535.31",="86612.4"
="m2_1_rp5_tvc4",="16475",=".",="-43257.69",="11",="86537.38",="86622.18"
="m2_1_rp5_tvc1",="16475",=".",="-43263.72",="8",="86543.44",="86605.11"
="m2_1_rp4_tvc5",="16475",=".",="-43283.91",="11",="86589.82",="86674.63"
="m2_1_rp4_tvc4",="16475",=".",="-43301.29",="10",="86622.59",="86699.69"
="m2_1_rp4_tvc2",="16475",=".",="-43304.61",="8",="86625.22",="86686.89"
="m2_1_rp4_tvc3",="16475",=".",="-43304.08",="9",="86626.16",="86695.55"
="m2_1_rp4_tvc1",="16475",=".",="-43311.12",="7",="86636.24",="86690.2"
="m2_1_rp3_tvc5",="16475",=".",="-43339.96",="10",="86699.93",="86777.02"
="m2_1_rp3_tvc4",="16475",=".",="-43380.66",="9",="86779.32",="86848.71"
="m2_1_rp2_tvc5",="16475",=".",="-43404.53",="9",="86827.07",="86896.45"
="m2_1_rp2_tvc4",="16475",=".",="-43445.94",="8",="86907.89",="86969.56"
="m2_1_rp3_tvc3",="16475",=".",="-43711.81",="8",="87439.61",="87501.29"
="m2_1_rp3_tvc2",="16475",=".",="-43728.91",="7",="87471.81",="87525.78"
="m2_1_rp3_tvc1",="16475",=".",="-43742.23",="6",="87496.46",="87542.71"
="m2_1_rp2_tvc3",="16475",=".",="-43757.58",="7",="87529.16",="87583.13"
="m2_1_rp2_tvc2",="16475",=".",="-44186.49",="6",="88384.98",="88431.24"
="m2_1_rp2_tvc1",="16475",=".",="-44201.16",="5",="88412.32",="88450.87"
="m2_1_rp1_tvc5",="16475",=".",="-46324.31",="8",="92664.63",="92726.31"
="m2_1_rp1_tvc4",="16475",=".",="-46366.59",="7",="92747.19",="92801.15"
="m2_1_rp1_tvc3",="16475",=".",="-46694.16",="6",="93400.32",="93446.58"
="m2_1_rp1_tvc2",="16475",=".",="-47107.14",="5",="94224.28",="94262.82"
="m2_1_gom",="16475",=".",="-48582.29",="3",="97170.58",="97193.7"
="m2_1_ggam",="16475",=".",="-49785.96",="4",="99579.91",="99610.75"
="m2_1_logn",="16475",=".",="-50998.29",="3",="102002.6",="102025.7"
="m2_1_logl",="16475",=".",="-52094.77",="3",="104195.5",="104218.7"
="m2_1_rp1_tvc1",="16475",=".",="-52980.63",="4",="105969.3",="106000.1"
="m2_1_weib",="16475",=".",="-53002.76",="3",="106011.5",="106034.6"
="m2_1_exp",="16475",=".",="-54227.57",="2",="108459.1",="108474.6"
="m2_2_rp3_tvc4",="14331",=".",="-48059.56",="9",="96137.13",="96205.26"
="m2_2_rp4_tvc3",="14331",=".",="-48059.71",="9",="96137.43",="96205.56"
="m2_2_rp4_tvc4",="14331",=".",="-48058.95",="10",="96137.9",="96213.6"
="m2_2_rp5_tvc3",="14331",=".",="-48059.08",="10",="96138.15",="96213.86"
="m2_2_rp3_tvc5",="14331",=".",="-48059.18",="10",="96138.36",="96214.06"
="m2_2_rp4_tvc5",="14331",=".",="-48058.28",="11",="96138.55",="96221.83"
="m2_2_rp5_tvc5",="14331",=".",="-48057.41",="12",="96138.81",="96229.65"
="m2_2_rp4_tvc1",="14331",=".",="-48062.65",="7",="96139.3",="96192.29"
="m2_2_rp5_tvc4",="14331",=".",="-48058.76",="11",="96139.53",="96222.8"
="m2_2_rp5_tvc1",="14331",=".",="-48062.13",="8",="96140.26",="96200.82"
="m2_2_rp4_tvc2",="14331",=".",="-48062.21",="8",="96140.41",="96200.97"
="m2_2_rp2_tvc4",="14331",=".",="-48062.64",="8",="96141.28",="96201.84"
="m2_2_rp5_tvc2",="14331",=".",="-48061.66",="9",="96141.33",="96209.46"
="m2_2_rp2_tvc5",="14331",=".",="-48062.18",="9",="96142.35",="96210.49"
="m2_2_rp3_tvc3",="14331",=".",="-48063.5",="8",="96143",="96203.56"
="m2_2_rp3_tvc1",="14331",=".",="-48066.67",="6",="96145.34",="96190.76"
="m2_2_rp3_tvc2",="14331",=".",="-48066.22",="7",="96146.43",="96199.42"
="m2_2_rp2_tvc1",="14331",=".",="-48069.01",="5",="96148.02",="96185.87"
="m2_2_rp2_tvc2",="14331",=".",="-48068.69",="6",="96149.38",="96194.8"
="m2_2_rp2_tvc3",="14331",=".",="-48068.54",="7",="96151.07",="96204.06"
="m2_2_ggam",="14331",=".",="-48137.74",="4",="96283.48",="96313.76"
="m2_2_rp1_tvc4",="14331",=".",="-48207.67",="7",="96429.34",="96482.33"
="m2_2_rp1_tvc5",="14331",=".",="-48207.12",="8",="96430.24",="96490.81"
="m2_2_rp1_tvc3",="14331",=".",="-48211.34",="6",="96434.68",="96480.1"
="m2_2_rp1_tvc2",="14331",=".",="-48213.72",="5",="96437.44",="96475.29"
="m2_2_logn",="14331",=".",="-48307.03",="3",="96620.05",="96642.76"
="m2_2_logl",="14331",=".",="-48794.08",="3",="97594.16",="97616.88"
="m2_2_gom",="14331",=".",="-49018.23",="3",="98042.45",="98065.16"
="m2_2_rp1_tvc1",="14331",=".",="-49204.92",="4",="98417.84",="98448.12"
="m2_2_weib",="14331",=".",="-49224.92",="3",="98455.83",="98478.54"
="m2_2_exp",="14331",=".",="-49228.58",="2",="98461.16",="98476.3"
="m2_3_logl",="2936",=".",="-10955.13",="4",="21918.26",="21942.2"
="m2_3_rp1_tvc3",="2936",=".",="-10952.3",="7",="21918.6",="21960.49"
="m2_3_ggam",="2936",=".",="-10955.33",="4",="21918.65",="21942.59"
="m2_3_logn",="2936",=".",="-10955.33",="4",="21918.65",="21942.59"
="m2_3_rp1_tvc4",="2936",=".",="-10951.47",="8",="21918.94",="21966.82"
="m2_3_rp1_tvc2",="2936",=".",="-10953.5",="6",="21919",="21954.91"
="m2_3_rp1_tvc5",="2936",=".",="-10950.52",="9",="21919.04",="21972.91"
="m2_3_rp2_tvc1",="2936",=".",="-10953.55",="6",="21919.1",="21955.01"
="m2_3_rp3_tvc1",="2936",=".",="-10952.95",="7",="21919.9",="21961.8"
="m2_3_rp2_tvc3",="2936",=".",="-10952.04",="8",="21920.07",="21967.95"
="m2_3_rp4_tvc5",="2936",=".",="-10948.08",="12",="21920.15",="21991.97"
="m2_3_rp2_tvc4",="2936",=".",="-10951.16",="9",="21920.33",="21974.19"
="m2_3_rp2_tvc2",="2936",=".",="-10953.2",="7",="21920.4",="21962.29"
="m2_3_rp2_tvc5",="2936",=".",="-10950.21",="10",="21920.42",="21980.27"
="m2_3_rp4_tvc1",="2936",=".",="-10952.7",="8",="21921.39",="21969.27"
="m2_3_rp3_tvc2",="2936",=".",="-10952.7",="8",="21921.41",="21969.29"
="m2_3_rp4_tvc4",="2936",=".",="-10949.74",="11",="21921.48",="21987.31"
="m2_3_rp5_tvc1",="2936",=".",="-10951.91",="9",="21921.82",="21975.68"
="m2_3_rp4_tvc3",="2936",=".",="-10951.48",="10",="21922.97",="21982.81"
="m2_3_rp4_tvc2",="2936",=".",="-10952.49",="9",="21922.98",="21976.84"
="m2_3_rp5_tvc5",="2936",=".",="-10948.62",="13",="21923.25",="22001.05"
="m2_3_rp3_tvc3",="2936",=".",="-10952.67",="9",="21923.34",="21977.21"
="m2_3_rp5_tvc2",="2936",=".",="-10951.72",="10",="21923.44",="21983.29"
="m2_3_rp3_tvc4",="2936",=".",="-10951.82",="10",="21923.65",="21983.5"
="m2_3_rp3_tvc5",="2936",=".",="-10950.88",="11",="21923.76",="21989.59"
="m2_3_gom",="2936",=".",="-10957.96",="4",="21923.91",="21947.85"
="m2_3_rp5_tvc3",="2936",=".",="-10950.99",="11",="21923.98",="21989.81"
="m2_3_rp5_tvc4",="2936",=".",="-10950.08",="12",="21924.16",="21995.98"
="m2_3_weib",="2936",=".",="-10958.77",="4",="21925.53",="21949.47"
="m2_3_rp1_tvc1",="2936",=".",="-10958.74",="5",="21927.48",="21957.4"
="m2_3_exp",="2936",=".",="-11125.29",="3",="22256.57",="22274.52"
